univ_name,alias,address,sinta_id,pddikti_code,author_number,dept_number,journal_number,sinta_score_overall,sinta_score_3yr,sinta_score_productivity,sinta_score_productivity_3yr,scopus_docs,scopus_citation,scopus_cited_doc,scopus_citation_per_researchers,gscholar_docs,gscholar_citation,gscholar_cited_doc,gscholar_citation_per_researchers,wos_docs,wos_citation,wos_cited_doc,wos_citation_per_researchers,garuda_docs,garuda_citation,garuda_cited_doc,garuda_citation_per_researchers
"STIT Babussalam, Aceh Tenggara",-,"KAB. ACEH TENGGARA - ACEH, ID",4027,213513,0,2,0,47,47,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
STAI Madinatul Ilmi Depok,-,"KOTA DEPOK - JAWA BARAT, ID",3695,213118,1,2,0,48,47,4,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Universitas Preston Indonesia,-,"- - -, ID",601,011035,0,0,0,47,47,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sekolah Tinggi Ilmu Kesehatan Muhammadiyah Manado,STIKES MUHAMMADIYAH,"KOTA MANADO - SULAWESI UTARA, ID",2723,163040,0,0,0,51,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sekolah Tinggi Keguruan dan Ilmu Pendidikan Padang Lawas,STKIP PADANG LAWAS,"UNKNOWN - UNKNOWN, ID",8244553,013193,0,3,0,47,47,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
STT Gereja Metodis Indonesia (GMI) Bandar Baru,-,"KAB. DELI SERDANG - SUMATERA UTARA, ID",4175,233182,0,2,0,47,47,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Indonesian Society of Neuroanesthesia and Critical Care INA-SNACC,-,"KOTA BANDUNG - JAWA BARAT, ID",8186,0,1,0,1,52,50,0,0,0,0,0,0,1,7,1,0,0,0,0,0,0,0,0,0
Perpustakaan Nasional ,PERPUSTAKAAN NASIONAL REPUBLIK INDONESIA,"KOTA ADM. JAKARTA PUSAT - DKI JAKARTA, ID",8438,00145878,0,0,2,50,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Indonesian Society for Cancer Chemoprevention,-,"KOTA YOGYAKARTA - DAERAH ISTIMEWA YOGYAKARTA, ID",8183,0,0,0,1,50,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ikatan Ahli Urologi Indonesia,-,"KOTA ADM. JAKARTA PUSAT - DKI JAKARTA, ID",8170,24,0,0,1,50,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
STMIK Dharma Putra,-,"KOTA TANGERANG - BANTEN, ID",1601,043233,2,2,0,103,47,8,4,0,0,0,0,9,2,2,"0,15",0,0,0,0,0,0,0,0
Himpunan Polimer Indonesia,-,"KOTA TANGERANG - BANTEN, ID",8167,21,0,0,1,50,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Asosiasi Sarjana Pendidikan Sejarah Indonesia,-,"KOTA BANDUNG - JAWA BARAT, ID",8159,13,0,0,1,50,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Forum Ilmiah Kesehatan,-,"KAB. MAGETAN - JAWA TIMUR, ID",8166,20,0,0,2,50,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lembaga Komunitas Informasi Teknologi Aceh,LEMBAGA KITA ACEH,"KOTA BANDA ACEH - ACEH, ID",8430,0112211,0,0,2,50,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Asosiasi Pembina Hukum Lingkungan Indonesia,-,"KOTA MEDAN - SUMATERA UTARA, ID",8158,12,0,0,1,50,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
STIMIK Tunas Bangsa Banjarnegara,-,"KAB. BANJARNEGARA - JAWA TENGAH, ID",128,063067,6,3,0,165,49,13,4,0,0,0,0,206,424,77,"30,29",0,0,0,0,0,0,0,0
STT SOE Prov. Nusa Tenggara Timur,-,"KAB TIMOR TENGAH SELATAN - NUSA TENGGARA TIMUR, ID",4227,233257,0,2,0,49,49,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
STMIK WIT Cirebon,-,"KOTA CIREBON - JAWA BARAT, ID",1651,043291,0,4,0,49,49,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
STAI Daarussalam Sukabumi,STAIDA SUKABUMI,"UNKNOWN - UNKNOWN, ID",3693,213115,0,1,0,49,49,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Disable -- Sekolah Tinggi Ilmu Ekonomi Mitra Indonesia,-,"KOTA YOGYAKARTA - DAERAH ISTIMEWA YOGYAKARTA, ID",1899,053013,0,2,0,49,49,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sekolah Tinggi Ilmu Ekonomi El Fatah Manado,-,"KOTA MANADO - SULAWESI UTARA, ID",2624,163011,0,2,0,49,49,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Akademi Keperawatan Setih Setio,-,"- - JAMBI, ID",3089,104093,6,1,0,64,49,6,4,0,0,0,0,35,70,16,"5,83",0,0,0,0,0,0,0,0
Akademi Keperawatan Bunda Delima,-,"KOTA BANDAR LAMPUNG - LAMPUNG, ID",1009,024102,9,1,0,58,49,4,4,0,0,0,0,33,40,13,"2,00",0,0,0,0,0,0,0,0
Akademi Kebidanan Manna,-,"KAB. BENGKULU SELATAN - BENGKULU, ID",1017,024111,6,1,0,126,46,21,8,0,0,0,0,27,43,9,"1,39",0,0,0,0,8,0,0,0
Sekolah Tinggi Ilmu Ekonomi Indonesia Medan,STIE INDONESIA - MEDAN,"KOTA MEDAN - SUMATERA UTARA, ID",647,013071,12,0,0,97,46,3,1,0,0,0,0,37,212,8,"6,06",0,0,0,0,5,0,0,0
"STIT Darul Ulum Kotabaru, Kalimantan Selatan",-,"KAB. KOTABARU - KALIMANTAN SELATAN, ID",3947,213415,7,1,0,73,46,3,2,0,0,0,0,44,530,19,"19,63",0,0,0,0,0,0,0,0
AMIK YMI Tegal,AMIK YMI TEGAL,"KAB. TEGAL - JAWA TENGAH, ID",143,064028,4,2,0,521,47,52,5,0,0,0,0,549,7.652,321,"318,83",0,0,0,0,0,0,0,0
